%time,field.data
1343230000000,1.0181856155395508
1343250000000,1.0179038047790527
1343270000000,1.0178520679473877
1343310000000,1.0177667140960693
1343310000000,1.0165224075317383
1343350000000,1.0141494274139404
1343350000000,1.0110893249511719
1343400000000,1.0073668956756592
1343400000000,1.004927635192871
1343440000000,0.9998494386672974
1343440000000,0.9934409856796265
1343490000000,0.9828773736953735
1343490000000,0.969230055809021
1343490000000,0.9558210372924805
1343530000000,0.9432713985443115
1343530000000,0.9315106868743896
1343550000000,0.9198246002197266
1343570000000,0.9087034463882446
1343610000000,0.9005258083343506
1343610000000,0.8924566507339478
1343650000000,0.8884949684143066
1343650000000,0.8828734159469604
1343700000000,0.8789339065551758
1343700000000,0.8742339611053467
1343740000000,0.8712421655654907
1343740000000,0.8663686513900757
1343790000000,0.8624554872512817
1343790000000,0.8578718900680542
1343830000000,0.8525751829147339
1343830000000,0.8465324640274048
1343830000000,0.8407241106033325
1343870000000,0.8344632387161255
1343870000000,0.8270008563995361
1343890000000,0.8195017576217651
1343910000000,0.8070862293243408
1343950000000,0.8017284870147705
1343950000000,0.796075701713562
1343990000000,0.7888487577438354
1343990000000,0.7871537208557129
1344040000000,0.7809967994689941
1344040000000,0.7764768600463867
1344080000000,0.770627498626709
1344080000000,0.7662352323532104
1344130000000,0.7584973573684692
1344130000000,0.7501732110977173
1344130000000,0.7368795871734619
1344170000000,0.7336047887802124
1344170000000,0.7280575037002563
1344190000000,0.7219021320343018
1344210000000,0.7168810367584229
1344250000000,0.7118347883224487
1344250000000,0.7069165706634521
1344290000000,0.7011157274246216
1344290000000,0.6959421634674072
1344340000000,0.6907315254211426
1344340000000,0.6822670698165894
1344380000000,0.67838454246521
1344380000000,0.672927737236023
1344430000000,0.6680989265441895
1344430000000,0.6628069877624512
1344470000000,0.6555794477462769
1344470000000,0.6528885364532471
1344470000000,0.647453784942627
1344510000000,0.6405394077301025
1344510000000,0.6335170269012451
1344530000000,0.6284452676773071
1344550000000,0.6228604316711426
1344590000000,0.6171597242355347
1344590000000,0.6109793186187744
1344630000000,0.6046509742736816
1344630000000,0.6001952886581421
1344680000000,0.5946751832962036
1344680000000,0.5885555744171143
1344720000000,0.5834689140319824
1344720000000,0.5769608020782471
1344770000000,0.5721772909164429
1344770000000,0.5652220249176025
1344810000000,0.5628772974014282
1344810000000,0.5606554746627808
1344810000000,0.555152416229248
1344860000000,0.5504192113876343
1344860000000,0.5462530851364136
1344870000000,0.5403130054473877
1344890000000,0.5356652736663818
1344930000000,0.5307555198669434
1344930000000,0.5243698358535767
1344970000000,0.5188499689102173
1344970000000,0.5150821208953857
1345020000000,0.5091304779052734
1345020000000,0.5053924322128296
1345060000000,0.4948819875717163
